age,population_size,deaths
0,4224138.5,0.16
1,4291025.96,0.16
2,4367810.86,0.16
3,4413079.21,0.16
4,4414124.72,0.16
5,4408172.54,0.16
6,4409715.24,0.16
7,4448330.95,0.16
8,4443025.4,0.16
9,4480652.06,0.16
10,4557333.36,0.16
11,4581566.84,0.16
12,4540503.23,0.16
13,4537392.93,0.16
14,4530372.96,0.16
15,4518017.53,0.16
16,4541632.91,0.16
17,4644194.89,0.16
18,4702942.84,0.16
19,4720562.09,0.16
20,4736739.79,0.16
21,4777610.38,0.16
22,4823172.57,0.16
23,4925789.01,0.16
24,5021785.05,0.16
25,5123251.73,2.2
26,5231391.58,2.2
27,5293904.64,2.2
28,5264074.58,2.2
29,5118519.9,2.2
30,4997691.73,2.2
31,4937202.05,2.2
32,4946526.38,2.2
33,4933674.14,2.2
34,4846828.34,2.2
35,4875779.42,2.2
36,4862687.56,2.2
37,4840251.74,2.2
38,4784622.99,2.2
39,4639576.17,2.2
40,4493905.08,2.2
41,4462085.82,2.2
42,4362675.14,2.2
43,4393510.04,2.2
44,4331110.42,2.2
45,4411917.74,26.75
46,4547695.91,26.75
47,4789451.47,26.75
48,4745903.22,26.75
49,4635417.82,26.75
50,4509843.79,26.75
51,4568947.7,26.75
52,4669343.61,26.75
53,4850513.64,26.75
54,4935482.8,26.75
55,4940574.95,26.75
56,4930484.15,26.75
57,4973400.28,26.75
58,4908147.15,26.75
59,4841998.25,26.75
60,4747657.09,26.75
61,4669344.17,26.75
62,4533560.26,26.75
63,4413106.27,26.75
64,4254352.55,26.75
65,4076779.64,113.2
66,3915242.58,113.2
67,3803352.72,113.2
68,3676378.68,113.2
69,3591240.82,113.2
70,3492617.8,113.2
71,3487719.14,113.2
72,2742542.03,113.2
73,2620696.38,113.2
74,2520034.96,113.2
75,2496647.95,288.4
76,2197761.74,288.4
77,2007924.96,288.4
78,1854883.81,288.4
79,1732582.32,288.4
80,1615112.43,288.4
81,1480602.29,288.4
82,1376384.71,288.4
83,1274779.24,288.4
84,1139958.48,288.4
85,1058849.17,359.7333333
86,969394.75,359.7333333
87,882785.32,359.7333333
88,792172.37,359.7333333
89,712813.45,359.7333333
90,632686,359.7333333
91,531051.1,359.7333333
92,434194.04,359.7333333
93,353308,359.7333333
94,277701.74,359.7333333
95,210554.97,359.7333333
96,158443.8,359.7333333
97,113346.44,359.7333333
98,74993.86,359.7333333
99,49773.22,359.7333333
100,33101.57,359.7333333